SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
MOREPENLAB,3.21,1.05,-2.16,down
MTARTECH,4.99,1.82,-3.17,down
NAHARINDUS,2.57,5.48,2.9100000000000006,up
NATCAPSUQ,1.19,3.42,2.23,up
NCLIND,2.21,1.15,-1.06,down
NEPHROCARE,4.94,4.99,0.04999999999999982,up
NEULANDLAB,7.95,6.09,-1.8600000000000003,down
NITTAGELA,1.27,1.62,0.3500000000000001,up
NRAIL,6.95,4.39,-2.5600000000000005,down
NRL,2.0,1.33,-0.6699999999999999,down
OBSCP,5.67,2.46,-3.21,down
ORTEL,4.93,4.23,-0.6999999999999993,down
PANAMAPET,8.73,1.99,-6.74,down
PARACABLES,2.63,4.35,1.7199999999999998,up
PATILAUTOM,4.99,4.98,-0.009999999999999787,down
PGEL,1.12,3.43,2.31,up
PGIL,5.56,10.92,5.36,up
PPAP,5.0,3.05,-1.9500000000000002,down
PPSL,3.7,3.57,-0.13000000000000034,down
PRECISION,2.53,4.94,2.4100000000000006,up
PRESSTONIC,9.93,5.21,-4.72,down
PROSTARM,7.89,1.3,-6.59,down
PURVFLEXI,4.84,4.93,0.08999999999999986,up
PVP,19.6,4.83,-14.770000000000001,down
RAJPUTANA,3.75,5.23,1.4800000000000004,up
RAMASTEEL,2.58,1.05,-1.53,down
RBA,2.86,5.17,2.31,up
REDTAPE,1.95,2.27,0.32000000000000006,up
RELIABLE,1.07,1.02,-0.050000000000000044,down
RELINFRA,4.99,4.93,-0.0600000000000005,down
REMSONSIND,3.41,1.81,-1.6,down
REMUS,5.4,3.91,-1.4900000000000002,down
RHETAN,1.73,1.55,-0.17999999999999994,down
RITES,1.77,1.24,-0.53,down
ROLEXRINGS,5.51,2.54,-2.9699999999999998,down
ROLLT,4.95,4.71,-0.2400000000000002,down
RPPL,7.54,1.69,-5.85,down
RUBYMILLS,4.54,3.73,-0.81,down
SADHNANIQ,1.41,4.86,3.45,up
SAHASRA,4.99,2.88,-2.1100000000000003,down
SAIPARENT,4.85,5.28,0.4300000000000006,up
SAJHOTELS,4.94,1.18,-3.7600000000000007,down
SANGHVIMOV,1.55,1.42,-0.13000000000000012,down
SANSERA,1.19,2.02,0.8300000000000001,up
SATIPOLY,2.12,4.92,2.8,up
SAYAJIHOTL,1.31,2.96,1.65,up
SBIN,2.84,1.12,-1.7199999999999998,down
SGBD29VIII,1.49,1.02,-0.47,down
SGBJAN27,1.41,2.92,1.51,up
SGBJAN29X,2.25,1.24,-1.01,down
SGBJAN30IX,1.6,1.11,-0.49,down
SGBJU29III,2.1,1.02,-1.08,down
SGBJUL27,2.62,1.37,-1.25,down
SGBJUN27,2.73,1.7,-1.03,down
SGBMAY28,2.09,1.18,-0.9099999999999999,down
SGBN28VIII,2.02,1.26,-0.76,down
SGBOC28VII,1.96,1.06,-0.8999999999999999,down
SGBOCT27,2.63,1.84,-0.7899999999999998,down
SGBOCT27VI,2.23,1.02,-1.21,down
SGBSEP29VI,2.08,1.1,-0.98,down
SGL,1.54,2.72,1.1800000000000002,up
SHILCTECH,1.16,1.94,0.78,up
SHILPAMED,2.36,2.84,0.48,up
SHYAMDHANI,4.98,2.09,-2.8900000000000006,down
SICAGEN,19.82,19.99,0.16999999999999815,up
SIKKO,9.85,2.03,-7.82,down
SILINV,1.25,1.61,0.3600000000000001,up
SIMCA,3.42,3.39,-0.029999999999999805,down
SKYGOLD,1.85,4.09,2.2399999999999998,up
SLONE,4.45,1.33,-3.12,down
SNEHAA,1.67,2.62,0.9500000000000002,up
SOCL,2.26,1.48,-0.7799999999999998,down
SPCON,7.7,1.46,-6.24,down
SRIVASAVI,4.64,2.33,-2.3099999999999996,down
STYL,6.75,5.0,-1.75,down
STYLEBAAZA,4.91,4.99,0.08000000000000007,up
SUDARSCHEM,2.87,2.15,-0.7200000000000002,down
SUMICHEM,3.48,1.48,-2.0,down
SUPREMEENG,1.81,1.78,-0.030000000000000027,down
SUYOG,2.75,2.08,-0.6699999999999999,down
SWANDEF,3.82,1.73,-2.09,down
SWELECTES,4.94,1.1,-3.8400000000000003,down
TAALTECH,2.79,9.22,6.430000000000001,up
TAMBOLIIN,4.98,3.96,-1.0200000000000005,down
TANKUP,1.48,3.33,1.85,up
TATATECH,6.31,8.89,2.580000000000001,up
TDPOWERSYS,2.15,2.7,0.5500000000000003,up
TECHERA,4.98,5.0,0.019999999999999574,up
TECHNVISN,9.98,7.81,-2.170000000000001,down
TEJASCARGO,4.84,3.83,-1.0099999999999998,down
TGL,2.82,3.49,0.6700000000000004,up
THANGAMAYL,3.86,2.55,-1.31,down
THEJO,2.8,3.0,0.20000000000000018,up
