SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
SIMPLEXINF,2.29,0.59,-1.7000000000000002,down
SINCLAIR,2.43,0.57,-1.8600000000000003,down
SINGERIND,4.31,-1.15,-5.459999999999999,down
SINTERCOM,2.51,-1.4,-3.9099999999999997,down
SIRCA,1.49,-0.01,-1.5,down
SIS,1.24,-0.22,-1.46,down
SKMEGGPROD,2.8,-0.92,-3.7199999999999998,down
SMARTWORKS,2.75,0.37,-2.38,down
SONAL,2.22,-2.61,-4.83,down
SOTL,15.16,-3.26,-18.42,down
SOUTHBANK,1.09,-0.55,-1.6400000000000001,down
SPECTRUM,2.14,-4.96,-7.1,down
SPUNWEB,1.49,0.0,-1.49,down
SRHHYPOLTD,5.02,0.94,-4.08,down
SRM,3.62,-1.58,-5.2,down
STAR,2.76,0.66,-2.0999999999999996,down
STLNETWORK,2.36,0.73,-1.63,down
STOVEKRAFT,5.85,-0.33,-6.18,down
STRIDERS,4.6,-1.16,-5.76,down
STUDDS,1.6,-1.75,-3.35,down
STUDIOLSD,4.05,-2.22,-6.27,down
STYLAMIND,3.7,-1.61,-5.3100000000000005,down
SUBEXLTD,2.61,-2.76,-5.369999999999999,down
SUDARCOLOR,12.38,-1.76,-14.14,down
SUDEEPPHRM,1.59,-1.7,-3.29,down
SUNDRMFAST,5.32,0.49,-4.83,down
SUNFLAG,3.64,0.12,-3.52,down
SUNTECH,1.75,,,flat
SUPERHOUSE,1.2,0.3,-0.8999999999999999,down
SUPERSPIN,1.89,-1.85,-3.74,down
SURANASOL,5.34,-3.8,-9.14,down
SURANI,2.06,0.2,-1.86,down
SURYAROSNI,1.64,0.65,-0.9899999999999999,down
SUTLEJTEX,3.75,-4.7,-8.45,down
SUVIDHAA,2.38,0.39,-1.9899999999999998,down
SYMPHONY,1.19,0.25,-0.94,down
TAJGVK,1.22,-2.36,-3.58,down
TATACAP,2.9,-3.24,-6.140000000000001,down
TATAGOLD,2.42,0.84,-1.58,down
TBI,6.92,-4.97,-11.89,down
TECHD,2.3,-2.13,-4.43,down
THOMASCOOK,1.55,-1.89,-3.44,down
TIMESCAN,2.19,,,flat
TIMKEN,1.02,0.24,-0.78,down
TITAGARH,1.02,-1.65,-2.67,down
TITAN,1.74,-1.14,-2.88,down
TMB,2.19,0.29,-1.9,down
TMCV,2.1,-1.42,-3.52,down
TNPL,2.38,-0.35,-2.73,down
TOKYOPLAST,2.04,0.0,-2.04,down
TOUCHWOOD,1.82,-0.36,-2.18,down
TRF,1.32,0.16,-1.1600000000000001,down
TRITURBINE,3.67,-1.53,-5.2,down
TTKHLTCARE,4.61,-0.85,-5.46,down
TTKPRESTIG,1.36,-3.27,-4.63,down
TWCGOLDETF,2.37,0.94,-1.4300000000000002,down
UCL,1.13,-0.32,-1.45,down
UFBL,4.2,0.41,-3.79,down
UFLEX,1.67,0.99,-0.6799999999999999,down
UGARSUGAR,5.66,-1.6,-7.26,down
UJJIVANSFB,3.53,-2.69,-6.22,down
UNIONBANK,3.81,0.6,-3.21,down
UNIONGOLD,2.54,0.69,-1.85,down
UNOMINDA,2.24,0.55,-1.6900000000000002,down
URAVIDEF,1.71,-3.67,-5.38,down
UTLSOLAR,2.51,-2.67,-5.18,down
UTTAMSUGAR,1.75,-0.8,-2.55,down
VADILALIND,2.31,-1.64,-3.95,down
VAML,2.71,-2.21,-4.92,down
VBL,1.6,-0.45,-2.0500000000000003,down
VEEDOL,3.26,0.5,-2.76,down
VENUSREM,2.52,-1.41,-3.9299999999999997,down
VGUARD,3.87,-0.81,-4.68,down
VHL,4.27,-0.29,-4.56,down
VIDYAWIRES,2.6,0.63,-1.9700000000000002,down
VIJAYPD,1.43,-2.19,-3.62,down
VINATIORGA,1.65,-1.83,-3.48,down
VIPCLOTHNG,1.69,-4.21,-5.9,down
VIPIND,1.52,0.16,-1.36,down
VIPULLTD,4.86,-3.41,-8.27,down
VISDEM,3.43,,,flat
VISHNU,1.02,-1.38,-2.4,down
VLEGOV,1.95,-0.27,-2.2199999999999998,down
VMARCIND,10.89,-3.94,-14.83,down
VOEPL,2.13,-0.54,-2.67,down
VRLLOG,2.03,-1.16,-3.1899999999999995,down
VSTTILLERS,1.39,-1.27,-2.66,down
WAAREEINDO,4.8,-4.99,-9.79,down
WEIZMANIND,3.71,-1.89,-5.6,down
WHIRLPOOL,2.74,-2.08,-4.82,down
YATHARTH,1.53,-0.11,-1.6400000000000001,down
YUKEN,7.21,-0.42,-7.63,down
ZENTEC,3.58,-0.78,-4.36,down
ZTECH,1.24,0.32,-0.9199999999999999,down
