SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
COMFINTE,7.18,-1.64,-8.82,down
CONNPLEX,1.19,-0.39,-1.58,down
CORDELIA,1.84,-0.61,-2.45,down
COUNCODOS,4.89,-0.48,-5.369999999999999,down
CRAFTSMAN,1.41,-0.68,-2.09,down
CREATIVEYE,2.12,0.0,-2.12,down
CREDITACC,3.46,-1.51,-4.97,down
CREDITACC,1.27,-1.51,-2.7800000000000002,down
CROMPTON,1.47,-7.43,-8.9,down
CSM,1.62,-0.45,-2.0700000000000003,down
CUBEXTUB,2.47,0.02,-2.45,down
CUPID,4.16,-0.18,-4.34,down
CURAA,4.31,-2.9,-7.209999999999999,down
CURRENT,3.47,,,flat
CYBERMEDIA,1.69,-1.17,-2.86,down
DAICHI,1.07,0.5,-0.5700000000000001,down
DAMODARIND,1.6,-0.04,-1.6400000000000001,down
DCBBANK,3.07,-1.19,-4.26,down
DCMFINSERV,3.54,-4.68,-8.219999999999999,down
DCMNVL,2.56,-2.4,-4.96,down
DCMSIL,5.0,-3.48,-8.48,down
DDEVPLSTIK,7.7,-7.21,-14.91,down
DECCANCE,1.23,0.19,-1.04,down
DECNGOLD,13.26,-4.09,-17.35,down
DEFENCE,2.42,0.37,-2.05,down
DELTAMAGNT,2.26,0.26,-1.9999999999999998,down
DELTIC,3.27,-3.86,-7.13,down
DHANUKA,2.1,-0.58,-2.68,down
DIAMINESQ,1.58,-2.31,-3.89,down
DICIND,1.61,-0.76,-2.37,down
DIFFNKG,4.64,-0.65,-5.29,down
DOLLAR,3.47,-0.85,-4.32,down
DRAGARWQ,1.08,0.62,-0.4600000000000001,down
DRCSYSTEMS,3.15,-3.2,-6.35,down
DREAMFOLKS,2.17,-0.78,-2.95,down
DVL,3.41,-1.81,-5.220000000000001,down
DYNAMATECH,3.73,-0.02,-3.75,down
E2E,1.18,-4.99,-6.17,down
EDELWEISS,2.87,-2.16,-5.03,down
EGOLD,2.49,0.78,-1.7100000000000002,down
EKC,1.94,0.92,-1.02,down
ELANTAS,4.47,-0.52,-4.99,down
ELECON,3.48,-2.8,-6.279999999999999,down
ELM250,1.56,0.18,-1.3800000000000001,down
EMAMILTD,1.65,0.87,-0.7799999999999999,down
EMMIL,2.23,-4.24,-6.470000000000001,down
EMMVEE,1.09,-2.82,-3.91,down
EMUDHRA,3.32,-0.31,-3.63,down
ENCOMPAS,1.67,-6.79,-8.46,down
ENSER,2.56,-3.43,-5.99,down
ESAFSFB,1.97,-5.34,-7.31,down
ETERNAL,1.9,-0.4,-2.3,down
ETML,2.63,-0.48,-3.11,down
EVERESTIND,1.51,-1.89,-3.4,down
EXICOM,1.81,-6.29,-8.1,down
