SYMBOL,CLOSE,PREV_CLOSE,PCT_CHANGE
MVELECTRO,624.0,425.0,46.82
SANDESH,1187.75,989.8,20.0
EEPL,119.75,99.85,19.93
ALLCARGO,9.76,8.14,19.9
SICAGEN,61.72,51.51,19.82
PVP,33.14,27.71,19.6
925SCL30A,999.0,836.51,19.42
MOLDTECH,198.6,166.4,19.35
ARABIAN,93.5,79.2,18.06
INDGN,525.0,452.0,16.15
JNPR,259.71,225.0,15.43
SOTL,781.95,679.0,15.16
GMMPFAUDLR,979.85,857.1,14.32
SIGIND,70.03,61.4,14.06
NAVINFLUOR,8650.0,7609.5,13.67
DECNGOLD,225.43,199.03,13.26
SUDARCOLOR,428.6,381.4,12.38
VMARCIND,328.95,296.65,10.89
ATL,25.57,23.18,10.31
BIRLANU,1538.7,1396.6,10.17
UEL,245.52,223.2,10.0
TECHNVISN,5307.1,4825.7,9.98
AGL,14.46,13.15,9.96
PRESSTONIC,32.65,29.7,9.93
DHARIWAL,22.15,20.15,9.93
BAJAJELEC,382.5,348.1,9.88
SIKKO,5.91,5.38,9.85
SACHEEROME,455.7,415.05,9.79
NIRMAN,36.55,33.3,9.76
PAVNAIND,19.09,17.42,9.59
INDOMIM,878.75,801.95,9.58
TREJHARA,165.13,150.79,9.51
KOLTEPATIL,429.3,392.6,9.35
ANNAPURNA,150.4,137.6,9.3
BTML,7.2,6.61,8.93
BATLIBOI,102.67,94.3,8.88
PANAMAPET,494.95,455.2,8.73
PRAXIS,7.23,6.65,8.72
MANAKSTEEL,88.13,81.34,8.35
948SCL27D,1060.0,980.1,8.15
FICRF3GP,578.0,535.0,8.04
FCL,41.75,38.65,8.02
BOSCH-HCIL,1645.2,1523.8,7.97
NEULANDLAB,21543.0,19956.0,7.95
PROSTARM,144.13,133.59,7.89
TOTAL,67.87,62.92,7.87
MANAKALUCO,38.36,35.61,7.72
SPCON,150.4,139.65,7.7
DDEVPLSTIK,310.6,288.4,7.7
RPPL,25.38,23.6,7.54
BLUEPEBBLE,73.0,68.0,7.35
YUKEN,803.4,749.4,7.21
COMFINTE,6.72,6.27,7.18
IGARASHI,493.8,461.05,7.1
KWIL,34.82,32.53,7.04
ARCIIL,38.0,35.5,7.04
MUFTI,87.44,81.69,7.04
NRAIL,521.65,487.75,6.95
RAMRAT,467.15,436.85,6.94
TBI,66.45,62.15,6.92
JYOTIGLOBL,38.35,35.9,6.82
STYL,388.35,363.8,6.75
AKI,4.5,4.22,6.64
MAHICKRA,275.0,258.0,6.59
SFML,23.5,22.05,6.58
ASKAUTOLTD,678.8,637.55,6.47
BETA,2518.9,2366.9,6.42
COCKERILL,9462.0,8897.0,6.35
TATATECH,801.55,754.0,6.31
