SYMBOL,CLOSE,PREV_CLOSE,PCT_CHANGE
MVELECTRO,624.0,425.0,46.82
SANDESH,1187.75,989.8,20.0
EEPL,119.75,99.85,19.93
ALLCARGO,9.76,8.14,19.9
SICAGEN,61.72,51.51,19.82
PVP,33.14,27.71,19.6
925SCL30A,999.0,836.51,19.42
MOLDTECH,198.6,166.4,19.35
ARABIAN,93.5,79.2,18.06
INDGN,525.0,452.0,16.15
JNPR,259.71,225.0,15.43
SOTL,781.95,679.0,15.16
GMMPFAUDLR,979.85,857.1,14.32
SIGIND,70.03,61.4,14.06
NAVINFLUOR,8650.0,7609.5,13.67
DECNGOLD,225.43,199.03,13.26
SUDARCOLOR,428.6,381.4,12.38
VMARCIND,328.95,296.65,10.89
ATL,25.57,23.18,10.31
BIRLANU,1538.7,1396.6,10.17
