SYMBOL,CLOSE,PREV_CLOSE,PCT_CHANGE
ANANDRATHI,1975.0,2950.05,-33.05
GENESYS,229.0,328.7,-30.33
1225IFL27,6201.0,7675.0,-19.21
851HUDCO28,1125.01,1345.0,-16.36
TARACHAND,49.89,58.77,-15.11
OMNI,627.05,732.6,-14.41
FSL,293.95,339.45,-13.4
NAHARPOLY,240.25,273.8,-12.25
737NTPC35C,1202.5,1358.0,-11.45
INDOTHAI,110.65,122.94,-10.0
AASTHA,82.88,92.08,-9.99
TSC,46.0,51.1,-9.98
ANUP,1993.3,2214.0,-9.97
SFL,697.05,771.65,-9.67
STYRENIX,2279.0,2478.3,-8.04
PELATRO,281.8,305.75,-7.83
NARMADA,13.85,15.01,-7.73
DIGIKORE,38.6,41.8,-7.66
DUCOL,107.1,115.95,-7.63
CANTABIL,228.1,245.81,-7.2
