TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-07,2026-08-07,CM,NSE,STK,3496,INE338A01024,TIRUMALCHM,EQ,,,,,THIRUMALAI CHEMICALS LTD,169.13,173.01,167.1,167.76,167.65,170.0,,167.76,,,414593,70298379.21,5610,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3481,INE332A01027,THOMASCOOK,EQ,,,,,THOMAS COOK (INDIA) LTD,106.5,106.94,103.6,104.13,104.0,106.14,,104.12,,,631943,66579832.99,4604,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,31017,INE480M01011,THOMASCOTT,EQ,,,,,THOMAS SCOTT (INDIA) LTD,314.6,329.5,310.65,315.15,315.15,310.5,,315.15,,,49488,15870926.55,1683,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,17032,INE594H01019,THYROCARE,EQ,,,,,THYROCARE TECH LTD,598.0,606.6,593.9,603.25,604.0,598.05,,603.26,,,208846,125540139.5,13048,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,759179,INE906O01029,TIGERLOGS,BE,,,,,TIGER LOGISTICS (INDIA) L,26.92,27.69,25.8,27.49,27.6,26.57,,27.49,,,594901,16049427.44,595,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,25482,INE440L01017,TIJARIA,EQ,,,,,TIJARIA POLYPIPES LTD,4.56,5.39,4.56,5.09,5.31,4.74,,5.09,,,153703,751661.02,201,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3484,INE806C01018,TIL,EQ,,,,,TIL LTD,246.6,251.0,230.75,232.1,231.15,252.5,,232.12,,,1405280,333527536.95,23150,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,19196,INE133E01013,TI,EQ,,,,,TILAKNAGAR INDUSTRIES LTD,484.05,497.8,480.95,490.75,489.8,488.45,,490.71,,,783049,382668405.45,22123,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,14707,INE508G01029,TIMETECHNO,EQ,,,,,TIME TECHNOPLAST LTD.,206.25,207.25,202.25,204.88,205.5,206.82,,204.88,,,4532881,925803734.31,38776,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,762954,INE064A01026,TIMEX,EQ,,,,,TIMEX GROUP INDIA LTD.,540.1,559.65,540.1,556.3,552.0,543.05,,556.28,,,149560,82795249.55,7999,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,14198,INE325A01013,TIMKEN,EQ,,,,,TIMKEN INDIA LTD.,3333.4,3364.0,3286.1,3351.0,3350.0,3343.1,,3351.16,,,30969,103396640.3,7180,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,756020,INE015C01016,TINNARUBR,EQ,,,,,TINNA RUBBER AND INFR LTD,1100.6,1114.9,1088.5,1108.1,1105.2,1100.6,,1108.09,,,24643,27226810.8,2971,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,11374,INE0LQS01015,TIPSFILMS,EQ,,,,,TIPS FILMS LIMITED,377.85,381.95,370.0,375.25,372.4,376.85,,375.25,,,5614,2104682.75,260,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,9117,INE716B01029,TIPSMUSIC,EQ,,,,,TIPS MUSIC LIMITED,654.15,658.05,644.0,645.35,644.0,654.4,,645.36,,,173364,112396490.2,11218,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,22284,INE319Y01024,TIRUPATIFL,BE,,,,,TIRUPATI FORGE LIMITED,70.3,72.99,68.5,72.07,71.99,70.62,,72.07,,,204111,14479390.4,813,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,15414,INE615H01020,TITAGARH,EQ,,,,,TITAGARH RAIL SYSTEMS LTD,860.0,864.6,844.7,847.45,845.5,861.65,,847.47,,,250764,213629079.35,13804,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3506,INE280A01028,TITAN,EQ,,,,,TITAN COMPANY LIMITED,4978.1,5003.0,4891.3,4941.0,4941.0,4998.0,,4941.01,,,1166858,5788047546.5,59708,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,9710,INE932C01012,TOKYOPLAST,BE,,,,,TOKYO PLAST  INTL LTD.,80.9,81.0,80.9,81.0,81.0,81.0,,81.0,,,877,70986.0,10,F1,1,,,,,
